loja,tipo_busca,busca_valor,ean,nome,marca,preco,precoPor,precoDe,oferta,link,status_busca
dia_ar,ean,7796613026003,7796613026003,,,,,,,https://diaonline.supermercadosdia.com.ar/7796613026003?_q=7796613026003&map=ft,nao_indexado_na_busca
dia_ar,ean,7790060234868,7790060234868,,,,,,,https://diaonline.supermercadosdia.com.ar/7790060234868?_q=7790060234868&map=ft,nao_indexado_na_busca
dia_ar,ean,7790272004112,7790272004112,,,,,,,https://diaonline.supermercadosdia.com.ar/7790272004112?_q=7790272004112&map=ft,nao_indexado_na_busca
dia_ar,ean,7790503199082,7790503199082,,,,,,,https://diaonline.supermercadosdia.com.ar/7790503199082?_q=7790503199082&map=ft,nao_indexado_na_busca
dia_ar,ean,7790387070019,7790387070019,,,,,,,https://diaonline.supermercadosdia.com.ar/7790387070019?_q=7790387070019&map=ft,nao_indexado_na_busca
dia_ar,ean,7790070012050,7790070012050,Aceite de Girasol Cocinero 900 Ml.,Aceite,3890,,,,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-cocinero-900-ml-48605/p,encontrado_com_preco
dia_ar,ean,7790070265371,7790070265371,Aceite De Oliva Extra Virgen Sin Tacc Lira 500 Ml.,Aceite,17195,,,,https://diaonline.supermercadosdia.com.ar/aceite-de-oliva-extra-virgen-sin-tacc-lira-500-ml-299225/p,encontrado_com_preco
dia_ar,ean,7792180001665,7792180001665,"Aceite de Girasol Cañuelas 1,5 Lt.",Aceite,6219,,,,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-canuelas-15-lt-73552/p,encontrado_com_preco
dia_ar,ean,7792180137937,7792180137937,"Aceite de Girasol Pureza 1,5 Lt.",Aceite,4750,4750,6329,x,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-pureza-15-lt-265505/p,encontrado_com_preco
dia_ar,ean,7798316700808,7798316700808,Aceite de Girasol Legítimo 900 Ml.,Aceite,3329,,,,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-legitimo-900-ml-56453/p,encontrado_com_preco
dia_ar,ean,7798316700815,7798316700815,"Aceite de Girasol Legítimo 1,5 Lt.",Aceite,5596,,,,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-legitimo-15-lt-15122/p,encontrado_com_preco
dia_ar,ean,7790070265371,7790070265371,Aceite Fritolim Clásico Cocinero 120 Ml.,Aceite,3999,3999,4999,x,https://diaonline.supermercadosdia.com.ar/aceite-fritolim-clasico-cocinero-120-ml-300380/p,encontrado_com_preco
dia_ar,ean,7798316700891,7798316700891,"Aceite de Girasol Legítimo 1,5 Lt.",Aceite,5596,,,,https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-legitimo-15-lt-15122/p,encontrado_com_preco
dia_ar,ean,7790272001005,7790272001005,"Aceite Girasol Natural 0,9 Lt.",Aceite,4195,,,,https://diaonline.supermercadosdia.com.ar/aceite-girasol-natural-09-lt-78855/p,encontrado_com_preco
dia_ar,ean,7790070431431,7790070431431,Arroz Largo Fino Luchetti 1 Kg.,Arroz,1850,,,,https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-luchetti-1-kg-299671/p,encontrado_com_preco
dia_ar,ean,7790070431431,7790070431431,Arroz Parboil Gallo 1 Kg.,Arroz,2500,,,,https://diaonline.supermercadosdia.com.ar/arroz-parboil-gallo-1-kg-295459/p,encontrado_com_preco
dia_ar,ean,7791120100208,7791120100208,Tostadas Sin Sal Con Vitaminas Molinos Ala 150 Gr.,Tostadas,2516,,,,https://diaonline.supermercadosdia.com.ar/tostadas-sin-sal-con-vitaminas-molinos-ala-150-gr-88197/p,encontrado_com_preco
dia_ar,ean,7790070431431,7790070431431,Gelatina Light Frutilla Forti Exquisita 25 Gr.,Gelatina,1206,,,,https://diaonline.supermercadosdia.com.ar/gelatina-light-frutilla-forti-exquisita-25-gr-32542/p,encontrado_com_preco
dia_ar,ean,7791120032554,7791120032554,Arroz Monovarietal Corto Molinos Ala 1 Kg.,Arroz,1675,1675,2250,x,https://diaonline.supermercadosdia.com.ar/arroz-monovarietal-corto-molinos-ala-1-kg-264264/p,encontrado_com_preco
dia_ar,ean,7791120032561,7791120032561,Arroz Parboil 00000 Molinos Ala 500 Gr.,Arroz,1190,,,,https://diaonline.supermercadosdia.com.ar/arroz-parboil-00000-molinos-ala-500-gr-258586/p,encontrado_com_preco
dia_ar,ean,7791120100857,7791120100857,Arroz Ita Caabo Largo Fino Molinos 1 Kg,Arroz,2500,,,,https://diaonline.supermercadosdia.com.ar/arroz-ita-caabo-largo-fino-molinos-1-kg-275460/p,encontrado_com_preco
dia_ar,ean,7790070431493,7790070431493,Gelatina Frutilla Regular Exquisita 40 Gr.,Gelatina,1206,,,,https://diaonline.supermercadosdia.com.ar/gelatina-frutilla-regular-exquisita-40-gr-300381/p,encontrado_com_preco
dia_ar,ean,7790070431493,7790070431493,Arroz Largo Fino Luchetti 1 Kg.,Arroz,1850,,,,https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-luchetti-1-kg-299671/p,encontrado_com_preco
dia_ar,ean,7790070431493,7790070431493,Arroz Parboil Gallo 1 Kg.,Arroz,2500,,,,https://diaonline.supermercadosdia.com.ar/arroz-parboil-gallo-1-kg-295459/p,encontrado_com_preco
dia_ar,ean,7791120100857,7791120100857,Polenta Molinos Ala 500 Gr.,Polenta,1070,,,,https://diaonline.supermercadosdia.com.ar/polenta-molinos-ala-500-gr-307092/p,encontrado_com_preco
dia_ar,ean,7791120100857,7791120100857,Arroz Largo Fino Molinos Ala 500 Gr.,Arroz,860,860,1050,x,https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-molinos-ala-500-gr-298635/p,encontrado_com_preco
dia_ar,ean,7791120032561,7791120032561,Arroz Monovarietal Corto Molinos Ala 1 Kg.,Arroz,1675,1675,2250,x,https://diaonline.supermercadosdia.com.ar/arroz-monovarietal-corto-molinos-ala-1-kg-264264/p,encontrado_com_preco
